2023-03-08 12:15:01,596 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>)]
2023-03-08 12:32:22,623 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>)]
2023-03-08 12:39:12,799 - INFO - routes.py - load - 17 - 路由: [('/register/', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>)]
2023-03-08 12:52:48,118 - INFO - routes.py - load - 17 - 路由: [('/register/', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>)]
2023-03-08 12:59:45,615 - INFO - routes.py - load - 18 - 路由: [('/register/', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>)]
2023-03-08 13:00:46,233 - INFO - routes.py - load - 17 - 路由: [('/register/', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>)]
2023-03-08 13:02:25,594 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>)]
2023-03-08 13:08:42,626 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>)]
2023-03-08 13:12:07,593 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>)]
2023-03-08 13:19:00,722 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>)]
2023-03-08 15:03:18,778 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>)]
