2023-03-10 09:30:14,230 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 09:41:30,987 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 09:43:09,946 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 09:44:31,649 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 09:46:32,594 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 09:47:03,098 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 09:47:28,868 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 09:48:35,653 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 09:50:02,846 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 09:50:37,208 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 09:54:32,765 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 09:56:01,613 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 09:58:31,163 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 09:58:58,447 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 09:59:30,775 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 10:00:08,114 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 10:00:35,332 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 10:01:02,086 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 10:01:54,140 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 10:02:29,585 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 10:04:33,325 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 10:05:29,377 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 10:05:54,029 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 10:08:21,428 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 10:09:54,244 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 10:10:17,209 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
